mmsi,base_date_time,longitude,latitude,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,status,length,width,draft,cargo,transceiver
209053121,2026-09-03 23:00:00+00:00,72.637631,19.114717,20.1,245.0,244.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:03:30+00:00,72.618957,19.106487,19.8,245.6,245.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:08:22+00:00,72.593221,19.095462,19.8,244.7,244.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:11:47+00:00,72.575265,19.087436,20.3,243.7,243.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:13:14+00:00,72.567573,19.083844,20.3,243.3,243.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:15:00+00:00,72.558152,19.079358,20.4,243.7,243.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:16:42+00:00,72.549004,19.075092,20.7,243.9,243.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:21:26+00:00,72.523217,19.063156,21.1,244.6,244.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:23:32+00:00,72.511513,19.057909,20.6,245.3,245.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:27:15+00:00,72.491159,19.049066,20.8,245.5,245.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:28:15+00:00,72.485573,19.046665,20.9,245.4,245.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:32:40+00:00,72.460924,19.035997,21.3,245.0,245.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:34:10+00:00,72.452512,19.032296,21.3,245.1,245.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:35:20+00:00,72.445869,19.02938,20.8,245.5,245.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:38:28+00:00,72.428477,19.021895,20.7,245.2,245.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:42:59+00:00,72.403562,19.010989,21.2,245.8,245.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:46:44+00:00,72.382254,19.001923,21.6,246.7,246.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:49:04+00:00,72.368766,18.996427,21.7,245.8,245.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:50:09+00:00,72.362391,18.99372,22.2,246.4,246.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:52:09+00:00,72.350539,18.988826,22.6,246.4,246.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:56:26+00:00,72.324476,18.978035,22.4,246.4,246.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
209053121,2026-09-03 23:59:11+00:00,72.30792,18.971193,22.3,245.6,245.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A
